127.0.0.1 - - [13/May/2020:09:05:18 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/May/2020:09:05:20 +0900] "GET /HTML5/test2.html HTTP/1.1" 200 2811
0:0:0:0:0:0:0:1 - - [13/May/2020:09:05:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [13/May/2020:09:05:55 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:05:56 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:05:58 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:05:58 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:05:58 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:07:46 +0900] "GET /HTML5/test2.html HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [13/May/2020:09:09:33 +0900] "GET /HTML5/test2.html HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [13/May/2020:09:09:34 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:07 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:08 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:10 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:12 +0900] "GET /HTML5/test2.html HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:13 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:34 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:35 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:36 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:38 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:38 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:39 +0900] "GET /HTML5/test2.html HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:41 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:52 +0900] "GET /HTML5/test2.html HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:53 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:53 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:10:54 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:12:27 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:12:28 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:12:28 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:12:28 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:12:30 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:12:30 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:09:12:31 +0900] "GET /HTML5/test2.html HTTP/1.1" 304 -
